miRNA	TSI	Most epxressed condition	Expression
hsa-miR-301b-5p	0.999206197591	disease_Lung	1.81654043588
hsa-miR-509-3-5p	0.999173350707	healthy_Kidney	1.74436025835
hsa-miR-767-3p	0.999112988109	disease_Lung	1.62565371341
hsa-miR-509-5p	0.999078221573	healthy_Kidney	1.5643392512
hsa-miR-3180-3p	0.999052148713	disease_Stomach	1.52130845244
hsa-miR-877-3p	0.998979502604	disease_Lung	1.41301112513
hsa-miR-490-5p	0.99860238483	disease_Stomach	1.0317390685
hsa-miR-205-3p	0.99847830249	disease_Lung	0.947608946004
hsa-miR-513a-5p	0.99832715512	healthy_Kidney	0.861989172649
hsa-miR-302a-5p	0.998172835712	disease_Stomach	0.789186929436
hsa-miR-1276	0.997927104857	disease_Stomach	0.695632955083
hsa-miR-605-3p	0.99790702761	healthy_Stomach	0.688959959963
hsa-miR-3187-3p	0.997643529627	disease_Lung	0.611921198182
hsa-miR-3617-3p	0.997632089253	disease_Lung	0.608964749192
hsa-miR-3616-3p	0.997243468703	disease_Lung	0.523111845481
hsa-miR-3059-5p	0.997183939271	disease_Lung	0.512053649658
hsa-miR-548ar-5p	0.997056444113	disease_Stomach	0.489874909634
hsa-miR-1-5p	0.997056444113	disease_Stomach	0.489874909634
hsa-miR-4433b-5p	0.99694744268	disease_Stomach	0.472382341384
hsa-miR-3157-5p	0.99694744268	disease_Stomach	0.472382341384
hsa-miR-208b-3p	0.99694744268	disease_Stomach	0.472382341384
hsa-miR-345-3p	0.996624543446	disease_Lung	0.42719381837
hsa-miR-6820-3p	0.996529718151	disease_Lung	0.415520766509
hsa-miR-137-3p	0.996527214114	disease_Lung	0.415221157078
hsa-miR-1271-3p	0.996508163472	disease_Lung	0.412955807754
hsa-miR-548aq-5p	0.996426946331	disease_Lung	0.40356913376
hsa-miR-514b-3p	0.995582067389	healthy_Kidney	0.326391165489
hsa-miR-6509-3p	0.995397414747	healthy_Stomach	0.313296570234
hsa-miR-4670-5p	0.995397414747	healthy_Stomach	0.313296570234
hsa-miR-375-5p	0.995397414747	healthy_Stomach	0.313296570234
